n,p,v,corpus
天井,に,ある,ted
スプリンクラー,が,ある,ted
天井,から,降る,ted
水飛沫,が,降る,ted
皆,に,尋ねる,ted
皆,に,尋ねる,ted
絵,が,成功する,ted
木,に,する,ted
貢献,を,する,ted
代わり,に,住む,ted
高木,に,住む,ted
私達,が,知らない,ted
一面,が,ある,ted
撮影,に,成功する,ted
泥,から,出来る,ted
rospil,と,呼ばれる,ted
クレヨン,を,する,ted
手,に,する,ted
時,から,描き続ける,ted
絵,を,描き続ける,ted
時,から,作り続ける,ted
実際,に,行く,ted
鍵,と,なる,ted
アイデア,が,ある,ted
計算,を,する,ted
キリン,を,受け取られる,ted
情報,が,知りたい,ted
ウェブサイト,で,説明する,ted
我々,が,やりたい,ted
其れ,を,やりたい,ted
下院,を,飛ばす,ted
そこ,で,気付く,ted
支配階級,に,取り入る,ted
とも,に,独占する,ted
富,を,独占する,ted
匂い,を,使う,ted
器,で,つかまえられる,ted
蚊,を,つかまえられる,ted
拡大,を,防ぐ,ted
ジョン,が,聞く,ted
動機,を,持つ,ted
時代,に,いる,ted
警察,が,言う,ted
側,に,言う,ted
ワット,が,使われる,ted
自分,が,考える,ted
物事,を,分かる,ted
こと,を,ご説明する,ted
リアルタイム,で,撮影する,ted
変化,を,撮影する,ted
中,で,燃え尽きる,ted
システム,が,欠如する,ted
さん,を,導く,ted
席,に,導く,ted
繋がり,が,壊れる,ted
学,を,行う,ted
コーヒー,を,飲む,ted
カップ,を,捨てる,ted
薬,を,入れる,ted
ポケット,に,入れる,ted
砂漠,を,渡る,ted
絹糸,に,ある,ted
一緒,に,取り出す,ted
炭素,を,取り出す,ted
誰,が,提供する,ted
何,を,提供する,ted
ヨーロッパ,で,演奏される,ted
時,に,運び出される,ted
遺体,が,運び出される,ted
時,に,演奏される,ted
奏者,が,先導する,ted
議論,を,できない,ted
高空,で,生み出す,ted
エネルギー,を,生み出す,ted
物,と,思う,ted
土地,に,行く,ted
等,が,楽しむ,ted
ゲーム,を,楽しむ,ted
人間,と,楽しむ,ted
取り引き,を,行う,ted
自分,が,思う,ted
以上,に,笑う,ted
人,と,笑う,ted
システム,に,アクセスする,ted
哺乳類,が,形成維持する,ted
絆,を,形成維持する,ted
感情,を,調整する,ted
私達,が,使う,ted
遺伝子,が,ある,ted
問題,に,切り込む,ted
祭壇,を,修復する,ted
神々,を,崇拝出来る,ted
こと,が,分かる,ted
先進国,が,取り入れる,ted
此処,に,いる,ted
現場,で,学ぶ,ted
此処,に,いる,ted
現場,で,学ぶ,ted
前,に,出る,ted
後ろ,を,走る,ted
恒星,を,周回する,ted
惑星,を,発見する,ted
時代,に,ある,ted
技術,で,観測出来る,ted
宇宙,を,信じる,ted
追求,に,成功する,ted
世界中,に,広がる,ted
側面,が,ある,ted
動物,が,教える,ted
私達,に,教える,ted
踊り,を,教える,ted
機会,に,お聞かせする,ted
一日,に,移される,ted
国,で,移される,ted
内面,が,満ち足りる,ted
上,に,作る,ted
ベッド,を,作る,ted
写真,で,出来る,ted
中心,に,存在する,ted
資金調達,が,依存する,ted
国民,に,依存する,ted
こと,に,起因する,ted
スライド,を,使う,ted
改革,に,向ける,ted
必要性,を,訴える,ted
国内外,に,訴える,ted
使命,が,ある,ted
面倒,を,見る,ted
食べ物,を,見付ける,ted
ドル,を,損する,ted
風力,で,損する,ted
時,に,始める,ted
仕事,を,始める,ted
劇場,が,浮かぶ,ted
頭,に,浮かぶ,ted
問題,を,解決出来る,ted
此処,に,ある,ted
成果,が,ある,ted
こと,が,出来る,ted
事,を,する,ted
注射器,を,再発明する,ted
私,が,言う,ted
安定性,を,検証する,ted
物,が,作る,ted
学校,が,なる,ted
休み,に,なる,ted
度,に,戻る,ted
村,に,戻る,ted
祖母,と,過ごす,ted
こと,で,自覚する,ted
不平等,を,自覚する,ted
学校,へ,行く,ted
家族,が,与える,ted
キャリア,が,なる,ted
台無し,に,なる,ted
幹部,が,する,ted
問題,を,抱える,ted
開催者,に,入れる,ted
探り,を,入れる,ted
こと,に,聞こえる,ted
物,が,入る,ted
間違い,を,犯す,ted
此れ,から,紹介する,ted
達,が,やらない,ted
人,が,実現する,ted
作動,と,関係する,ted
皆,から,見られる,ted
目,で,見られる,ted
装置,を,改良する,ted
此処,に,作り出す,ted
磁界,を,作り出す,ted
互い,に,省略する,ted
訳,に,行かない,ted
水泡,を,見付ける,ted
農村,で,育つ,ted
其れ,に,使わない,ted
話,が,ある,ted
教師,を,目指す,ted
ニューヨーク,で,目指す,ted
銀行家,を,目指す,ted
ストレス,が,続く,ted
ホスト,を,頼る,ted
最高裁,が,関わる,ted
つ,と,される,ted
孫娘,に,近づかせる,ted
不安,を,吹き飛ばす,ted
問題,に,取り組む,ted
理解,を,深める,ted
理論,を,拡張する,ted
髪型,を,見る,ted
達,に,刺激される,ted
両極,を,踏破する,ted
人間,に,なりたい,ted
ソフトウェア,が,動く,ted
技術,が,及ぼす,ted
教育,に,及ぼす,ted
影響,を,及ぼす,ted
遣る気,に,させる,ted
此れ,が,齎す,ted
変化,を,齎す,ted
事,に,ある,ted
本質,が,ある,ted
湖,に,住む,ted
種,で,占められ折,ted
話,に,入る,ted
秒,で,割る,ted
フィード,から,持つ,ted
私達,が,理解する,ted
全て,が,融合する,ted
怪物,を,敗北させる,ted
ジハード,を,破る,ted
IPCC,で,答えたい,ted
確信,が,持つ,ted
質問,に,答えたい,ted
治療,を,施す,ted
目標,を,見失う,ted
人,を,治す,ted
実際,に,治す,ted
ガワンデ,が,見つめ直す,ted
医療,を,見つめ直す,ted
在り方,を,示す,ted
p,を,信じる,ted
方,を,拒む,ted
体,を,見る,ted
曲線,を,描く,ted
繊維,が,異なる,ted
ローブ,が,ある,ted
コロニー,が,バクテリアコロニー,ted
外部,から,バクテリアコロニー,ted
人類,と,接触する,ted
型,を,適応させる,ted
関係,に,ある,ted
人,に,適応させる,ted
蜜蜂,が,消す,ted
姿,を,消す,ted
裏庭,で,撮影する,ted
生態,を,撮影する,ted
企画,を,通す,ted
コマ,を,垣間見る,ted
命,が,脅かされる,ted
壁蝨,に,脅かされる,ted
様子,を,する事,ted
目の当たり,に,する事,ted
私達,が,直面する,ted
解決法,を,語る,ted
キュレーター,に,迎える,ted
マガジン,を,迎える,ted
仕事,を,補完したい,ted
今,から,お話しする,ted
トリック,で,補完したい,ted
物,が,ある,ted
ヤフー,が,いる,ted
頭,を,使う,ted
中,に,ある,ted
アフリカ,に,いる,ted
間,に,遣る,ted
世界,に,告知する,ted
アフガニスタン,に,住む,ted
仕事,が,招く,ted
危険,を,招く,ted
国,を,脱出しない,ted
国,を,追われる,ted
場所,を,求める,ted
チケット,を,買う,ted
人,に,払う,ted
お金,を,払う,ted
船,で,する,ted
亡命,を,する,ted
一群,に,加わる,ted
様子,を,伝える,ted
革新,を,起こす,ted
沈黙,を,変換する,ted
信号,に,変換する,ted
民主主義,を,齎す,ted
世紀,に,齎す,ted
心待ち,に,する,ted
inside out,を,する,ted
物,に,する,ted
美術館,で,行われる,ted
妻,に,任せる,ted
物差し,で,測る,ted
飛行船,で,測る,ted
11,を,比較する,ted
パンテオン,と,比較する,ted
浴場,と,比較する,ted
感じ,で,遣る,ted
興味,が,ある,ted
次,に,再生する,ted
動画,を,再生する,ted
数学,で,考える,ted
一目,で,分かる,ted
t,が,ある,ted
分子,に,ある,ted
影響,が,増加する,ted
t,が,ある,ted
分母,に,ある,ted
私,が,学ぶ,ted
意味,を,思う,ted
大学院,で,受ける,ted
講義,を,思い出す,ted
髭,が,生える,ted
庭,が,現れる,ted
日,に,稼ぐ,ted
人々,が,亡くなる,ted
年,で,亡くなる,ted
災害,が,ある,ted
戦争,と,言う,ted
可能性,が,ある,ted
会社,が,与える,ted
特許,を,なる,ted
他社,に,なる,ted
許諾,を,与える,ted
意思,に,依存する,ted
最高学位,を,取得する,ted
号,を,取得する,ted
仮,に,持つ,ted
原油,が,浸出する,ted
水中,に,浸出する,ted
意見,が,分かれる,ted
チーム,を,含める,ted
映像,を,見る,ted
時,に,鳴る,ted
種,を,まく,ted
私,が,感じる,ted
興奮,と,言う,ted
子供達,が,寝る,ted
前,に,座る,ted
アウトライン,から,生成される,ted
此れ,を,置く,ted
念頭,に,置く,ted
ラット,が,行く,ted
システム,を,開発する,ted
ラット,が,行く,ted
システム,を,開発する,ted
動向,を,する,ted
記事,に,する,ted
必要,が,ある,ted
必要,が,ある,ted
命,を,頂く,ted
サンプル,を,使う,ted
サンプル,を,使う,ted
行程,が,はじき出される,ted
移動,に,比べる,ted
障害物,が,ある,ted
本当,に,分かる,ted
御機嫌,を,取りたい,ted
私達,が,使う,ted
等,に,使う,ted
デモ,を,集める,ted
食品,を,飲み過ぎ,ted
先端,に,留める,ted
生地,を,留める,ted
私,に,つく,ted
測定,を,行う,ted
彼女,に,似る,ted
達,に,共通する,ted
孫,が,生まれる,ted
考え方,に,従う,ted
重責,を,伴う,ted
判断,に,任せず,ted
意思,で,決める,ted
助手席,に,座る,ted
運転席,に,乗る,ted
Instagram,で,かけられる,ted
フィルター,が,かけられる,ted
人,が,する,ted
魂,を,擦り減らす,ted
仕事,を,する,ted
状況,を,許す,ted
CERN,で,働く,ted
さん,が,思う様に,ted
コスト,を,膨らませる,ted
関係,を,する,ted
浮き彫り,に,する,ted
意味,を,取り戻す,ted
世界,に,行く,ted
命,を,授かる,ted
中,に,入れる,ted
腕,を,入れる,ted
蚊,に,刺す,ted
つ,で,作る,ted
中性子,を,作る,ted
体制,が,確立する,ted
歴史,を,持つ,ted
地方選挙,が,ある,ted
問題,に,向き合う,ted
方法,を,考える,ted
達,が,追求する,ted
一生,を,かける,ted
答え,を,追求する,ted
こと,が,なる,ted
好奇心,を,そそる,ted
壁,で,知られる,ted
印,が,並ぶ,ted
真ん中,に,ある,ted
図,と,考えられる,ted
物,が,ある,ted
地球,を,脅かす,ted
人,が,描かれる,ted
子供,が,成長する,ted
場所,が,分かる,ted
生き物,が,移動する,ted
何処,へ,移動する,ted
中,に,持つ,ted
処理,を,する,ted
エネルギー,を,消費する,ted
エネルギー,を,消費する,ted
影響,が,ある,ted
p,と,考える,ted
理由,を,聞く,ted
細胞核,を,分散する,ted
内,に,分散する,ted
サンプル,を,取る,ted
顕微鏡,で,見る,ted
細胞核,を,数える,ted
其れ,で,分かる,ted
数,が,分かる,ted
物,が,理解され得ない,ted
救い,が,ある,ted
男,が,来る,ted
津波,が,来る,ted
最後,に,現れる,ted
演壇,に,立つ,ted
前,で,お話する,ted
私達,が,真似する,ted
遣り方,を,真似する,ted
数,を,報道する,ted
人,と,報道する,ted
鬱,と,戦う,ted
働き,を,する,ted
私,が,考える,ted
夜,に,考える,ted
寝室,で,考える,ted
こと,を,する,ted
スキー,に,行く,ted
例,を,ご紹介する,ted
分,で,操作する,ted
テレビ,を,操作する,ted
こと,に,気付く,ted
曲,を,聞く,ted
小品,を,お聞かせしたい,ted
アメリカ,を,上げる,ted
例,に,上げる,ted
経験,を,踏まえる,ted
こと,が,果たし得る,ted
洞察,に,富む,ted
主張,を,展開する,ted
教育,から,得られる,ted
利益,を,押し広める,ted
予算,で,行う,ted
割合,を,纏める,ted
データ,に,変換する,ted
全て,を,行う,ted
被り物,に,使われる,ted
誘発剤,を,含む,ted
こと,に,起きる,ted
乱用,が,起きる,ted
斑点,で,覆われる,ted
こと,を,遣る,ted
利益,を,齎す,ted
どちら,を,する,ted
選択,を,迫られる,ted
此処,で,伝える,ted
私,に,伝える,ted
流れ,を,理解する,ted
学生,を,引き込む,ted
こと,で,学ぶ,ted
数学,を,学ぶ,ted
私,が,する,ted
貴方,を,する,ted
先生,に,する,ted
其れ,を,行う,ted
ライブ,で,行う,ted
其れ,で,保存する,ted
家庭,で,遣る,ted
技術,を,使う,ted
フレーム,で,マッピングする,ted
接続,が,する,ted
通信,に,する,ted
映像,が,消える,ted
ソ連,が,争う,ted
支配権,を,巡る,ted
上,で,存在する,ted
我々,が,向かう,ted
原子力,に,戻る,ted
視点,から,持つ,ted
障害,を,持つ,ted
意味,が,ある,ted
こと,が,分かる,ted
ビジョン,を,する,ted
人生,を,祝う,ted
友人,と,祝う,ted
世代,に,渡す,ted
バトン,を,渡す,ted
骨,を,切る,ted
時代,を,経る,ted
時代,を,迎える,ted
特許,が,取れない,ted
周期表,に,乗る,ted
手術,を,終える,ted
点,が,研究される,ted
話,を,纏める,ted
内,に,侵入させる,ted
DNA,を,侵入させる,ted
コピー,を,作る,ted
バミューダ,で,行う,ted
共,に,行う,ted
地域,で,行う,ted
潜水,を,行う,ted
下,で,探す,ted
波,が,打ち寄せる,ted
海岸線,を,探す,ted
上,に,降り注ぐ,ted
考え,で,満たす,ted
頭,を,満たす,ted
其れ,に,加える,ted
人間,を,しめる,ted
直感,が,ある,ted
障害,を,乗り越える,ted
認識,が,しめる,ted
僕,を,しめる,ted
グラフィックカード,を,購入する,ted
無線,で,通信する,ted
スマートフォン,で,観察する,ted
胎児,を,観察する,ted
此れ,が,掛かる,ted
気,に,掛かる,ted
状況,を,したい,ted
データ,を,見る,ted
TED,で,する,ted
ステージ,で,する,ted
目,に,する,ted
其れ,を,思う,ted
年,で,増える,ted
倍,に,増える,ted
効果,を,扱う,ted
例,で,見られる,ted
環境,を,変える,ted
環境,に,合わせる,ted
特徴,を,示す,ted
此れ,が,関わる,ted
インキュベーター,を,率いる,ted
スタートアップ,を,擁する,ted
コンパス,が,指す,ted
方向,を,指す,ted
名,が,書かれる,ted
こと,を,示す,ted
治験,が,行われる,ted
リスペリドン,が,投与される,ted
オフ,で,見られる,ted
震え,が,見られる,ted
経験,と,なる,ted
経験,と,なる,ted
需要,が,出始める,ted
気,を,取り直す,ted
彼女,を,見る,ted
彼女,が,言う,ted
ビデオ,を,盗む,ted
YouTube,に,上げられる,ted
国土,に,匹敵する,ted
流行,が,防止出来る,ted
人々,が,アクセス出来る,ted
データ,に,アクセス出来る,ted
命,を,救う,ted
私達,を,思い返す,ted
等,が,尽くす,ted
為,に,尽くす,ted
最善,を,尽くす,ted
視線,を,そらす,ted
手段,を,使う,ted
中,に,いる,ted
フランク,を,利用する,ted
フランク,を,利用する,ted
刺激,に,集中させない,ted
中,に,向けさせる,ted
注意,を,向けさせる,ted
人,が,自殺する,ted
今年,に,入る,ted
コペンハーゲン,に,渡る,ted
者,に,なる,ted
こと,に,気付く,ted
本当,に,聞く,ted
宇宙,を,聞く,ted
ハイファイ,で,聞く,ted
全体,に,及ぼす,ted
影響,を,及ぼす,ted
photoshop,を,使う,ted
ジェリー,を,する,ted
分別,が,ある,ted
率,が,削減される,ted
こと,が,実証される,ted
本当,に,語ってる,ted
全て,を,語ってる,ted
仕事,を,する,ted
物,が,分かる,ted
計算,を,する,ted
中,で,起きる,ted
何,が,起きる,ted
こと,が,止まる,ted
間,に,発見される,ted
インド,に,行く,ted
トイレ,を,使う,ted
側,に,付く,ted
口,が,付く,ted
同情,を,禁じ得る,ted
発展,を,遂げる,ted
恩恵,を,享受する,ted
ドナルドソン,が,紹介する,ted
装具,を,紹介する,ted
大腿,を,失う,ted
達,が,使用する,ted
技術,が,盛り込まれる,ted
義肢,と,比べる,ted
感じ,に,見える,ted
特徴,を,持つ,ted
花,を,傷つけない,ted
三脚,に,取り付ける,ted
紫外線,を,当てる,ted
写真,を,見る,ted
富,が,作られる,ted
罪,を,後悔する,ted
サイコパス,に,ある,ted
後悔,を,装う,ted
遺伝子,を,読み取る,ted
発想,から,起こる,ted
事業,で,生み出す,ted
がん,を,説明する,ted
辞書,を,生み出す,ted
玉,を,投げる,ted
ピン,が,倒れる,ted
音,が,する,ted
分子,を,使う,ted
意味,を,伝えられる,ted
近所,に,いる,ted
達,と,交流する,ted
トップ,に,上り詰める,ted
全て,を,する,ted
犠牲,に,する,ted
先生,が,介入する,ted
私,を,する,ted
未来志向,に,する,ted
水,から,出る,ted
生計,を,立てる,ted
道,を,選ぶ,ted
物語,を,書く,ted
試合,を,進めない,ted
同時,に,進めない,ted
現実,を,直視する,ted
私達,が,試す,ted
装置,を,試す,ted
装置,を,使用する,ted
人,に,使用する,ted
こと,を,許可する,ted
治療室,で,見る,ted
杖,を,持つ,ted
リンカーン,に,気付く,ted
サイン,が,ある,ted
周り,に,ある,ted
そこ,で,自問する,ted
他,に,使う,ted
ツイン,が,リリースする,ted
サイト,で,リリースする,ted
アルバム,を,リリースする,ted
こと,で,壊れ掛かる,ted
組織,が,壊れ掛かる,ted
独裁者,を,解任する,ted
等,が,解任される,ted
源,から,生じる,ted
ゲイ,を,公表する,ted
二人,で,行く,ted
カレー,に,行く,ted
奴隷,が,連れる,ted
アフリカ,から,連れる,ted
新大陸,へ,連れる,ted
手,に,入る,ted
音,が,なる,ted
前,に,読む,ted
後,に,再会出来る,ted
生みの親,と,再会出来る,ted
明日,を,形作る,ted
テクノロジー,が,する,ted
危機,に,対処する,ted
ルワンダ,に,行く,ted
力,を,再確認する,ted
自信,を,持つ,ted
此れ,を,見せる,ted
アメリカ人,が,持つ,ted
頭痛,を,持つ,ted
其れ,を,治療する,ted
手段,を,する,ted
手,に,する,ted
人,が,おる,ted
写真,を,持つ,ted
議定書,から,引く,ted
身,を,引く,ted
ニコレリス,を,覚える,ted
脳,で,制御する,ted
エクソスケルトン,を,開発する,ted
御陰,で,する,ted
男性,が,する,ted
キックオフ,を,する,ted
何,に,取り組む,ted
メッセージ,を,送る,ted
システム,を,構築する,ted
言葉,を,借りる,ted
限界,を,越える,ted
実験,を,見逃さない,ted
此れ,に,関連する,ted
問題,に,ある,ted
損傷,が,ある,ted
状態,に,戻す,ted
テスト,を,行う,ted
会社,を,探し歩く,ted
テスト,を,引き受ける,ted
製造元,から,貰う,ted
仕事,を,貰う,ted
物質,が,改善する,ted
数値,を,改善する,ted
実際,に,する,ted
部屋,に,いる,ted
セルビオ,と,あだ名される,ted
悪行,を,する,ted
問題,に,する,ted
試合,で,怪我する,ted
手首,を,怪我する,ted
診断,を,受ける,ted
神経,が,麻痺する,ted
死,に,至る,ted
度,を,高める,ted
機会,を,捉える,ted
達,が,参加する,ted
企画,に,参加する,ted
チャレンジ,を,受ける,ted
トーク,を,広める,ted
勘違い,が,なる,ted
引っ掛かる,と,なる,ted
こと,を,しない,ted
学習,を,促す,ted
前,に,起きる,ted
スキャンダル,が,起きる,ted
世界中,で,亡くなる,ted
人,が,亡くなる,ted
プロセス,に,紛れ込む,ted
最後,に,する,ted
ロボット,が,来る,ted
隣,に,来る,ted
回路,に,ある,ted
問題,が,ある,ted
回路,に,ある,ted
問題,が,ある,ted
中国,で,実現する,ted
此処,に,いる,ted
夫人,が,いる,ted
覚え書き,に,署名する,ted
リマ,に,育つ,ted
征服,に,纏わる,ted
伝説,を,聞かされる,ted
祖父,から,聞かされる,ted
母,が,言う,ted
仕事,を,好む,ted
大学,を,出る,ted
人,を,引き付ける,ted
世界,で,喘ぐ,ted
極貧,に,喘ぐ,ted
達,に,届ける,ted
現金,を,届ける,ted
こと,を,する,ted
示唆,に,富む,ted
達,を,助ける,ted
方法,を,紹介する,ted
寄付,を,集める,ted
活動,に,参加する,ted
ドラマ,で,なる,ted
クリスタル,が,なる,ted
乳癌,に,なる,ted
達,が,行く,ted
撮影,を,受ける,ted
細胞,を,放出する,ted
人,が,ついてる,ted
嘘,を,ついてる,ted
ロバーツ,が,いけない,ted
男,と,寝ない,ted
映画,を,作る,ted
僕,を,信じる,ted
各国,で,感染する,ted
人数,を,示す,ted
大陸,に,ある,ted
国,が,ある,ted
メッセージ,を,タグ付けする,ted
データ,が,ある,ted
私,が,する,ted
アドバイス,を,する,ted
会社,が,作る,ted
新品,を,買う,ted
前,に,する,ted
張り替え,を,する,ted
客,に,勧める,ted
乾期,に,なる,ted
水,が,減る,ted
穴,と,呼ばれる,ted
穴,を,掘り始める,ted
死,に,至る,ted
奴,が,死ぬ,ted
塗り絵,が,出来る,ted
図表,を,呉れる,ted
時,に,及ばず,ted
事実,から,背ける,ted
目,を,背ける,ted
熱湯,を,入れる,ted
一緒,に,入れる,ted
内緒,に,する,ted
苦痛,が,なる,ted
セレンゲティ,で,例える,ted
ライオン,と,なる,ted
こと,を,証明する,ted
資源,が,足りず,ted
魔法,を,起こす,ted
難問,を,解決出来る,ted
年,に,着手する,ted
根絶,を,目指す,ted
計画,に,着手する,ted
辺り,に,戻す,ted
私達,が,考える,ted
意識,が,ある,ted
師匠,に,する,ted
質問,を,する,ted
知識,を,蓄積する,ted
夜,に,する,ted
所,で,する,ted
練習,を,する,ted
経験,を,積む,ted
ワクチン,を,開発する,ted
戦術,を,組み直す,ted
共,に,積み重なる,ted
下,で,守られる,ted
頭,が,冴える,ted
損,を,する,ted
羽目,に,なる,ted
時間,で,行く,ted
国々,が,進歩する,ted
時点,で,進歩する,ted
集会,を,開く,ted
関心事,に,傾ける,ted
耳,を,傾ける,ted
中,で,思う,ted
何,を,思う,ted
手,で,割る,ted
風船,を,割る,ted
虫,を,動かす,ted
悲しみ,に,うちひしがれる,ted
ガレージ,を,横切る,ted
地下,から,掘り出される,ted
水圧,に,持ち堪える,ted
此れ,を,持つ,ted
我々,に,下さる,ted
エヌビーシーデータライン,が,下さる,ted
世界,で,する,ted
周り,に,悟られない,ted
日,が,ある,ted
mkss,が,行う,ted
ラジャスタン,で,行う,ted
データ,を,集める,ted
壁,に,描く,ted
村民,を,招く,ted
誰,が,担当する,ted
支払い,を,担当する,ted
誰,が,死亡する,ted
橋,が,掛かる,ted
参画,で,節約する,ted
お金,を,節約する,ted
自分,と,話す,ted
グレーゾーン,に,いる,ted
土壌,が,干上がる,ted
乾期,に,入る,ted
地面,に,生じる,ted
罅割れ,が,生じる,ted
酸素,が,入る,ted
火災,が,起こる,ted
振り出し,に,戻る,ted
水,が,なくなる,ted
恐れ,が,ある,ted
海水,から,得ない,ted
真水,を,得ない,ted
プラント,が,なる,ted
言い方,を,する,ted
音楽,が,なる,ted
音量,を,上げる,ted
一節,が,流れ出す,ted
鼓膜,が,破れそう,ted
研究所,で,起こる,ted
こと,が,起こる,ted
研究所,で,起こる,ted
こと,が,起こる,ted
商売,を,する,ted
取引相手,を,信頼する,ted
インターネット,で,商売したい,ted
イメージ,を,紹介する,ted
何,を,知る,ted
言葉,から,得る,ted
着想,を,得る,ted
人,に,話す,ted
為,に,出来る,ted
我々,が,出来る,ted
こと,を,分類する,ted
つ,に,分類する,ted
話,を,する,ted
前,に,知る,ted
其れ,を,知る,ted
話,を,する,ted
こと,を,話す,ted
直線,が,現れる,ted
船旅,を,満喫する,ted
相手,を,変える,ted
駱駝,が,いない,ted
私,と,似る,ted
回路,が,似る,ted
木,から,落ちる,ted
右側,に,作る,ted
痣,を,作る,ted
接し方,が,ある,ted
そば,に,居る,ted
声,を,かける,ted
人,が,言われる,ted
前,より,深める,ted
確信,を,深める,ted
有機体,に,適する,ted
地域,が,存在する,ted
可能性,が,ある,ted
人類,に,及ぼす,ted
ボルト,が,詰める,ted
距離,を,詰める,ted
物,を,取り出す,ted
棚,から,取り出す,ted
代わり,に,使う,ted
血管,に,合わせる,ted
ステント,を,使う,ted
際,に,プリントする,ted
リアルタイム,で,プリントする,ted
性質,を,持つ,ted
話者,が,いる,ted
近く,に,いる,ted
こと,を,取り上げる,ted
全域,で,話される,ted
語,が,話される,ted
時期,が,ある,ted
発見,が,ある,ted
動物,が,いる,ted
環境,を,使う,ted
そこ,で,立候補する,ted
議員,に,立候補する,ted
ファー,を,許せない,ted
発信機,から,守る,ted
プライバシー,を,守る,ted
手段,が,ある,ted
スイッチ,を,入れたがる,ted
鳴き声,を,お聞かせする,ted
さん,に,お聞かせする,ted
クリック,が,聞こえる,ted
機械,が,なる,ted
オン,に,なる,ted
貴方,を,助ける,ted
支援,を,続けられる,ted
貴方,が,持ち込む,ted
バロキスタン,で,作られる,ted
刺繍,が,施される,ted
服,を,買う,ted
とも,に,止める,ted
戦争,を,止める,ted
家,に,いる,ted
面倒,を,見る,ted
国家,を,越える,ted
社会,で,行う,ted
こと,を,行う,ted
国々,が,ある,ted
直線,で,区切られる,ted
中国,を,追い越す,ted
昆虫,が,持つ,ted
能力,を,持つ,ted
人々,が,逃げる,ted
年,で,逃げる,ted
アメリカ,に,逃げる,ted
目,に,見えない,ted
等,が,与える,ted
実際,に,与える,ted
影響,を,与える,ted
例,を,見せる,ted
価値観,を,持つ,ted
何,を,求める,ted
ジャンクフード,に,戻る,ted
此れ,を,持ち込む,ted
グラウンドゼロ,に,持ち込む,ted
中,を,移動する,ted
生態,に,戻る,ted
新生,を,阻止させる,ted
増殖,を,食い止める,ted
こと,が,なる,ted
解決策,に,なる,ted
疑問,に,感じる,ted
スローガン,が,表示される,ted
達,を,結集させる,ted
我々,が,活動する,ted
特質,を,発達させる,ted
パターン,で,誘惑する,ted
蜜蜂,を,誘惑する,ted
格差,が,来す,ted
社会,に,来す,ted
支障,を,来す,ted
税金,を,使う,ted
例,を,上げる,ted
其れ,が,なる,ted
疑問,を,持つ,ted
ドル,を,生み出す,ted
一人,が,出る,ted
飛行,に,行く,ted
中,から,取り出す,ted
炭素,を,取り出す,ted
排出量,を,する,ted
以下,に,する,ted
問題,を,解決する,ted
侵食,を,防ぐ,ted
水質,を,向上させる,ted
此処,で,忘れる,ted
我,を,忘れる,ted
メキシコ,から,来る,ted
マンゴー,が,ある,ted
ポイント,に,行く,ted
間,に,広まる,ted
人気,に,なる,ted
メッセージ,が,存在する,ted
所,に,座る,ted
不道徳,を,する,ted
目,に,する,ted
販売,を,する,ted
下,に,いる,ted
動き,が,ある,ted
こと,に,気付く,ted
田舎,に,いる,ted
モニター,に,使う,ted
政府,が,ある,ted
カリフォルニア,が,乗り越える,ted
年,を,乗り越える,ted
ハッカー,が,起こす,ted
トラブル,を,起こす,ted
経済,に,従属するする,ted
ユーザー,が,入力する,ted
情報,に,基づく,ted
通り,に,作動する,ted
其れ,に,見合う,ted
人,を,探す,ted
検査,を,する,ted
ロッカー,を,見る,ted
情報,を,得る,ted
犬,を,調教する,ted
メディア,が,入手する,ted
情報,を,入手する,ted
大騒ぎ,に,なる,ted
雑誌,が,開催する,ted
コンテスト,に,参加する,ted
人,から,なる,ted
上,に,出来上がる,ted
自由,が,弾圧される,ted
南極,から,待つ,ted
搬出,を,待つ,ted
テクノロジー,に,与える,ted
外観,を,与える,ted
プロジェクト,に,裂く,ted
時間,を,裂く,ted
ウィリアム,が,タイプする,ted
機器,で,タイプする,ted
メッセージ,を,タイプする,ted
話し合い,を,恐れる,ted
文化,が,浸透する,ted
生産量,を,増やす,ted
世界,を,する,ted
テクノロジー,で,探求し続ける,ted
可能性,を,探求し続ける,ted
テレビ,を,つける,ted
宇宙船,が,登場する,ted
反論,を,書く,ted
進化,を,経る,ted
レーザー,で,退治出来る,ted
前,に,お話す,ted
経験,を,する,ted
私達,が,いる,ted
アンダーソン,が,話す,ted
テクノロジー,が,辿る,ted
マーケットシェア,を,獲得する,ted
代替,と,なる,ted
存在,と,なる,ted
夢,に,辿り着く,ted
仕掛け,を,する,ted
チケット,を,する,ted
非売品,に,する,ted
ごみ,が,移動する,ted
南,に,移動する,ted
お金,を,求める,ted
北,に,移動する,ted
中,で,調査する,ted
研究,が,調査する,ted
必要,が,ある,ted
瓶,を,割る,ted
昔,から,言う,ted
頭上,に,光る,ted
私,が,加担する,ted
生命,を,脅かす,ted
計画,に,加担する,ted
インターネット,に,移る,ted
女性,が,書く,ted
者,を,救う,ted
責任,が,ある,ted
チーズ,に,加える,ted
本題,に,入る,ted
前,に,する,ted
話,を,する,ted
両方,から,考える,ted
考え,が,惹き付ける,ted
人々,を,惹き付ける,ted
ハズブロ,が,招待する,ted
私,を,招待する,ted
本社,に,招待する,ted
私,に,見せる,ted
オーブン,を,見せる,ted
時間,を,失う,ted
